epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,839.796,1.03892,0.97781,1.22387,0.61726,0.50148,0.52609,0.3355,1.22983,1.50737,1.3948,0.000495125,0.000495125,0.000495125
63,853.295,1.03141,0.96584,1.21588,0.56083,0.54582,0.52767,0.34426,1.23033,1.47213,1.39701,0.00048275,0.00048275,0.00048275
64,866.92,1.03412,0.96919,1.21237,0.53284,0.55068,0.51102,0.33076,1.23043,1.53999,1.39532,0.000470375,0.000470375,0.000470375
65,880.523,1.0377,0.95317,1.21505,0.56547,0.5245,0.51183,0.32572,1.24026,1.53811,1.40052,0.000458,0.000458,0.000458
66,894.138,1.01618,0.92999,1.20082,0.55857,0.50343,0.50439,0.32975,1.24561,1.55904,1.4343,0.000445625,0.000445625,0.000445625
67,907.675,1.00865,0.92767,1.19574,0.59633,0.49577,0.52108,0.34103,1.23003,1.51094,1.41338,0.00043325,0.00043325,0.00043325
68,921.31,1.0146,0.92198,1.20047,0.52283,0.55947,0.52458,0.34204,1.21458,1.53335,1.39,0.000420875,0.000420875,0.000420875
69,935.081,1.02004,0.93561,1.2007,0.57797,0.5231,0.52774,0.34791,1.21803,1.48173,1.38251,0.0004085,0.0004085,0.0004085
70,948.847,1.03916,0.94128,1.21093,0.54995,0.51626,0.49463,0.324,1.23005,1.53598,1.39164,0.000396125,0.000396125,0.000396125
71,962.679,1.00482,0.88672,1.19049,0.5367,0.55204,0.50861,0.33217,1.2186,1.48798,1.39291,0.00038375,0.00038375,0.00038375
72,976.492,1.00742,0.86931,1.17945,0.5072,0.52497,0.4848,0.31132,1.23581,1.56898,1.40724,0.000371375,0.000371375,0.000371375
73,990.387,0.97782,0.89494,1.18755,0.54842,0.52871,0.51125,0.33135,1.23233,1.54478,1.40538,0.000359,0.000359,0.000359
74,1004.12,1.0082,0.87661,1.18764,0.57391,0.52056,0.51024,0.32865,1.22322,1.52736,1.39663,0.000346625,0.000346625,0.000346625
75,1017.89,0.9975,0.86474,1.18185,0.59471,0.50288,0.52104,0.34246,1.23648,1.52933,1.3905,0.00033425,0.00033425,0.00033425
76,1031.69,0.99792,0.85864,1.18654,0.55715,0.55044,0.52503,0.3441,1.22352,1.51317,1.38279,0.000321875,0.000321875,0.000321875
77,1045.65,0.96923,0.845,1.17569,0.56546,0.52213,0.51713,0.33816,1.23797,1.56358,1.40598,0.0003095,0.0003095,0.0003095
78,1059.39,0.98361,0.84559,1.17633,0.55115,0.52897,0.50252,0.32685,1.22931,1.57029,1.39616,0.000297125,0.000297125,0.000297125
79,1073.07,0.97872,0.83283,1.17746,0.58248,0.53191,0.51498,0.34014,1.22231,1.53395,1.39626,0.00028475,0.00028475,0.00028475
80,1086.79,0.94452,0.82116,1.1557,0.54147,0.53301,0.50924,0.33622,1.23109,1.57572,1.39685,0.000272375,0.000272375,0.000272375
81,1100.49,0.97121,0.83765,1.17072,0.53606,0.55198,0.51261,0.33573,1.23529,1.57719,1.40428,0.00026,0.00026,0.00026
82,1114.37,0.97087,0.81784,1.16443,0.55982,0.53509,0.51106,0.33665,1.21689,1.57913,1.38371,0.000247625,0.000247625,0.000247625
83,1128.1,0.93038,0.80723,1.15223,0.55198,0.53493,0.51072,0.3374,1.21766,1.54829,1.38197,0.00023525,0.00023525,0.00023525
84,1141.75,0.94086,0.78932,1.15934,0.59549,0.5447,0.522,0.3447,1.21442,1.53015,1.38032,0.000222875,0.000222875,0.000222875
85,1155.56,0.95086,0.8099,1.16313,0.58154,0.53808,0.52701,0.34354,1.2198,1.51257,1.38666,0.0002105,0.0002105,0.0002105
86,1169.41,0.95125,0.78528,1.15117,0.56822,0.52473,0.52303,0.33971,1.23073,1.53375,1.39723,0.000198125,0.000198125,0.000198125
87,1183.06,0.93948,0.789,1.14868,0.56813,0.55599,0.52559,0.34868,1.22603,1.52048,1.39874,0.00018575,0.00018575,0.00018575
88,1196.72,0.94395,0.79154,1.15693,0.59213,0.50734,0.51082,0.33618,1.2327,1.57906,1.39363,0.000173375,0.000173375,0.000173375
89,1210.48,0.92853,0.79027,1.15487,0.59439,0.5273,0.51793,0.33546,1.22912,1.56682,1.3941,0.000161,0.000161,0.000161
90,1224.04,0.91217,0.77671,1.15024,0.58706,0.51892,0.50429,0.32343,1.23868,1.59139,1.4131,0.000148625,0.000148625,0.000148625
91,1247.92,0.93003,0.73034,1.14158,0.55369,0.52891,0.50056,0.32861,1.23203,1.55524,1.41592,0.00013625,0.00013625,0.00013625
92,1261.37,0.89697,0.66564,1.12716,0.55537,0.54281,0.51347,0.33507,1.22483,1.5441,1.39511,0.000123875,0.000123875,0.000123875
93,1275.13,0.89729,0.65036,1.12431,0.5188,0.54843,0.51063,0.33392,1.22422,1.56617,1.39973,0.0001115,0.0001115,0.0001115
94,1288.78,0.87303,0.64369,1.10816,0.63868,0.49551,0.52645,0.34702,1.21217,1.55537,1.38242,9.9125e-05,9.9125e-05,9.9125e-05
95,1302.53,0.88049,0.63397,1.10276,0.56355,0.53805,0.51977,0.33953,1.23008,1.57817,1.39946,8.675e-05,8.675e-05,8.675e-05
96,1316.12,0.86894,0.61872,1.10493,0.54927,0.54649,0.51847,0.33842,1.23991,1.59143,1.41121,7.4375e-05,7.4375e-05,7.4375e-05
97,1329.88,0.87267,0.61099,1.10323,0.56275,0.55078,0.52243,0.34177,1.22963,1.57823,1.40939,6.2e-05,6.2e-05,6.2e-05
98,1343.42,0.85892,0.60774,1.10126,0.56868,0.5401,0.52004,0.34151,1.23288,1.58098,1.40725,4.9625e-05,4.9625e-05,4.9625e-05
99,1357.05,0.85931,0.6092,1.10264,0.56379,0.54752,0.51688,0.33842,1.2268,1.58333,1.39728,3.725e-05,3.725e-05,3.725e-05
100,1370.82,0.85246,0.59811,1.08918,0.55897,0.54603,0.51458,0.33606,1.23225,1.59634,1.40148,2.4875e-05,2.4875e-05,2.4875e-05
